uri,model,audio_sec,infer_sec,rtf,der,jer,der_short,jer_short,der_turn,jer_turn,n_ref_speakers,n_hyp_speakers
aepyx,pyannote31,169.152,11.957103501074016,0.07068851388735585,0.07655903200400992,0.09974157089331934,,,0.22239739059526978,0.34689506213111965,4,4
aepyx,sortformer_v1,169.152,1.7459329273551702,0.010321680662097819,0.031932412114269115,0.045672019845172156,,,0.08779559662951915,0.15213607062392184,4,4
bgvvt,pyannote31,1200.064,40.61970887705684,0.03384795217343144,0.101886083087911,0.0780880852951377,0.3300000000000034,0.19411764705882295,0.14516450648054077,0.1642492706178007,2,2
bgvvt,sortformer_v1,1200.064,14.214252409525216,0.011844578630410723,0.09828310044489029,0.07630827679581736,0.12499999999998579,0.41666666666665086,0.12904144708730467,0.13129349261954917,2,2
bjruf,pyannote31,360.512,7.391226137056947,0.020502025278096005,0.18200945552459372,0.16501018543222545,0.12727272727272834,0.12926997245179173,0.23576678098971246,0.2335846634651389,2,4
bjruf,sortformer_v1,360.512,2.5369344567880034,0.007037031934548651,0.10180343780331237,0.09467412745451703,0.18181818181818615,0.18147382920110627,0.1537917143012683,0.15194286139319305,2,3
bvyvm,pyannote31,117.248,2.202305850572884,0.01878331272663827,0.04967378410438898,0.05111912562823027,,,0.10037174721189557,0.100746268656716,3,3
bvyvm,sortformer_v1,117.248,0.676866577938199,0.005772947751246921,0.027530644523527013,0.02763345369399044,,,0.2918215613382895,0.28618908767421136,3,4
bxcfq,pyannote31,196.48,3.994356908835471,0.020329585244480208,0.011506622516556384,0.014150270529228466,0.0737704918032807,0.0737704918032807,0.03237847222222255,0.03062653913221388,2,2
bxcfq,sortformer_v1,196.48,1.2616729568690062,0.006421381091556424,0.0019401903973509567,0.003371662016209981,0.0,0.0,0.0,0.0,2,2
cpebh,pyannote31,671.04,14.67805819772184,0.021873596503519672,0.002284039633437219,0.0022826415415965417,,,,,1,1
cpebh,sortformer_v1,671.04,5.853999781422317,0.008723771729587384,0.0006357476236994147,0.0006355012710028453,,,,,1,1
cqfmj,pyannote31,114.944,1.8510813349857929,0.016104201480597446,0.06258543253270835,0.507478530229019,,,0.2941804591564332,0.6666666666666666,4,2
cqfmj,sortformer_v1,114.944,0.7141895592212677,0.006213369634093712,0.056873657488771615,0.5001138063341354,,,0.2941804591564332,0.6666666666666666,4,2
crorm,pyannote31,911.168,47.63251128885895,0.05227632147843093,0.07861009884621177,0.04203197208931282,,,0.02151639344262666,0.021348760274785484,2,2
