uri,model,audio_sec,infer_sec,rtf,der,jer,der_short,jer_short,der_turn,jer_turn,n_ref_speakers,n_hyp_speakers
aepyx,pyannote31,169.152,17.05863315053284,0.10084795421001728,0.07656350683754531,0.09974437447903897,,,0.2224143789073134,0.34691841248185207,4,4
aepyx,sortformer_v1,169.152,1.1023927060887218,0.006517172165204797,0.031932412114269115,0.045672019845172156,,,0.08779559662951915,0.15213607062392184,4,4
bgvvt,pyannote31,1200.064,73.16942443884909,0.060971268564717455,0.10188640944503359,0.07809163693590992,0.3296562500000471,0.1939154411764957,0.14522414898160232,0.16432865425497767,2,2
bgvvt,sortformer_v1,1200.064,9.185544111765921,0.00765421186850528,0.09828310044489029,0.07630827679581736,0.12499999999998579,0.41666666666665086,0.12904144708730467,0.13129349261954917,2,2
bjruf,pyannote31,360.512,22.213180269114673,0.06161564738237472,0.1820107274805094,0.16501256090342037,0.1273344861660103,0.1293345385674956,0.23577834939299866,0.23359932505602807,2,4
bjruf,sortformer_v1,360.512,1.9738598009571433,0.005475157001589803,0.10180343780331237,0.09467412745451703,0.18181818181818615,0.18147382920110627,0.1537917143012683,0.15194286139319305,2,3
bvyvm,pyannote31,117.248,9.562811581417918,0.0815605518338728,0.049684287267694756,0.051136020957392225,,,0.10037174721189557,0.100746268656716,3,3
bvyvm,sortformer_v1,117.248,0.664997368119657,0.005671716089994346,0.027530644523527013,0.02763345369399044,,,0.2918215613382895,0.28618908767421136,3,4
bxcfq,pyannote31,196.48,11.38401460647583,0.05793981375445761,0.011497083247102637,0.01414256251302038,0.0737704918032807,0.0737704918032807,0.03235405815972004,0.03062609233061425,2,2
bxcfq,sortformer_v1,196.48,1.0174478366971016,0.00517837864768476,0.0019401903973509567,0.003371662016209981,0.0,0.0,0.0,0.0,2,2
cpebh,pyannote31,671.04,46.33133323583752,0.06904407074963866,0.0022876738614690337,0.0022862723271849655,,,,,1,1
cpebh,sortformer_v1,671.04,4.176172754727304,0.006223433408928386,0.0006357476236994147,0.0006355012710028453,,,,,1,1
cqfmj,pyannote31,114.944,4.712017197161913,0.04099402489179003,0.06257048183948459,0.5074709614913722,,,0.2941804591564332,0.6666666666666666,4,2
cqfmj,sortformer_v1,114.944,0.5452539352700114,0.004743648518148067,0.056873657488771615,0.5001138063341354,,,0.2941804591564332,0.6666666666666666,4,2
crorm,pyannote31,911.168,28.969906833022833,0.03179425400477501,0.0786136644118702,0.04210394785893669,,,0.02163165983599958,0.021468175603762366,2,2
crorm,sortformer_v1,911.168,5.382529151625931,0.005907285101787959,0.016532581993457317,0.14788751753868706,,,0.24077868852460393,0.2588105726872418,2,3
crylr,pyannote31,187.904,4.0598160196095705,0.021605798810081588,0.3224043481247421,0.41738283610132954,,,0.1817286450662711,0.14572703867850204,4,5
crylr,sortformer_v1,187.904,0.7452662559226155,0.003966207509806154,0.0499038329440855,0.2888533085699987,,,0.2611683848797231,0.36146399658716544,4,3
dohag,pyannote31,43.904,0.915661508217454,0.020855992807431074,0.03820427064574224,0.03820427064574238,,,,,1,1
dohag,sortformer_v1,43.904,0.22915399447083473,0.0052194331831002805,0.015307435039876572,0.000899627297262475,,,,,1,2
dxbbt,pyannote31,676.352,21.281226558610797,0.03146472038023218,0.036164395823169895,0.050682727544904736,0.3556853991596298,0.4105561801820381,0.16271050263530518,0.21676415269490257,3,3
dxbbt,sortformer_v1,676.352,3.367804938927293,0.00497936716225766,0.05676649722226707,0.10045299218499239,0.2668067226891185,0.35891271482104004,0.2644298753053139,0.3429768609896369,3,3
dxokr,pyannote31,186.496,4.935253092087805,0.026463050639626614,0.046518176701495294,0.586592131220088,,,0.47946611909651193,0.8264887063655039,4,2
dxokr,sortformer_v1,186.496,0.7557073924690485,0.004052137270874702,0.027044969116204118,0.30481508194665125,,,0.16221765913758057,0.41253132832080364,4,3
dzsef,pyannote31,164.736,5.135278744623065,0.031172777927247628,0.003801730566084539,0.012703397213275474,,,,,3,3
dzsef,sortformer_v1,164.736,0.6221541129052639,0.0037766736651689004,0.0,0.0,,,,,3,3
eazeq,pyannote31,98.624,2.5897044902667403,0.026258359935378207,0.03356447339670047,0.0452044988468191,0.0,0.0,0.03161917998610131,0.061321144411398076,2,2
